player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Gary Whetton,Lock,15 December 1959,22.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1959-12-15,10020.0
Albert Anderson,Lock,5 February 1961,5.0,Canterbury,New Zealand,1987,1987-05-22,New Zealand,1961-02-05,9602.0
Alan Whetton,Back row,15 December 1959,5.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1959-12-15,10020.0
Andy Earl,Back row,12 September 1961,3.0,Canterbury,New Zealand,1987,1987-05-22,New Zealand,1961-09-12,9383.0
Michael Jones,Back row,8 April 1965,1.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1965-04-08,8079.0
Mark Brooke-Cowden,Back row,12 June 1963,2.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1963-06-12,8745.0
Wayne Shelford,Back row,13 December 1957,2.0,North Harbour,New Zealand,1987,1987-05-22,New Zealand,1957-12-13,10752.0
Zinzan Brooke,Back row,14 February 1965,0.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1965-02-14,8132.0
David Kirk (c),Scrum-half,5 October 1960,10.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1960-10-05,9725.0
Bruce Deans,Scrum-half,25 November 1960,0.0,Canterbury,New Zealand,1987,1987-05-22,New Zealand,1960-11-25,9674.0
Grant Fox,Fly-half,6 June 1962,1.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1962-06-06,9116.0
Frano Botica,Fly-half,3 August 1963,6.0,North Harbour,New Zealand,1987,1987-05-22,New Zealand,1963-08-03,8693.0
Bernie McCahill,Centre,28 June 1964,0.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1964-06-28,8363.0
Joe Stanley,Centre,13 April 1957,6.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1957-04-13,10996.0
Warwick Taylor,Centre,11 March 1960,16.0,Canterbury,New Zealand,1987,1987-05-22,New Zealand,1960-03-11,9933.0
Craig Green,Wing,23 March 1961,14.0,Canterbury,New Zealand,1987,1987-05-22,New Zealand,1961-03-23,9556.0
John Kirwan,Wing,16 December 1964,13.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1964-12-16,8192.0
Terry Wright,Wing,21 March 1963,2.0,Auckland,New Zealand,1987,1987-05-22,New Zealand,1963-03-21,8828.0
John Gallagher,Fullback,29 January 1964,0.0,Wellington,New Zealand,1987,1987-05-22,New Zealand,1964-01-29,8514.0
Kieran Crowley,Fullback,31 August 1961,8.0,Taranaki,New Zealand,1987,1987-05-22,New Zealand,1961-08-31,9395.0
Rusiate Namoro,Hooker,,20.0,Suva,Fiji,1987,1987-05-22,Fiji,,
Salacieli Naivilawasa,Hooker,14 February 1961,1.0,Suva,Fiji,1987,1987-05-22,Fiji,1961-02-14,9593.0
Epeli Rakai,Hooker,circa 1961,15.0,Suva,Fiji,1987,1987-05-22,Fiji,,
Mosese Taga,Hooker,17 September 1964,0.0,Suva,Fiji,1987,1987-05-22,Fiji,1964-09-17,8282.0
Sairusi Naituku,Prop,26 February 1961,6.0,Rewa,Fiji,1987,1987-05-22,Fiji,1961-02-26,9581.0
Peni Volavola,Prop,6 June 1963,5.0,Nadi,Fiji,1987,1987-05-22,Fiji,1963-06-06,8751.0
Aisake Nadolo,Lock,13 July 1964,0.0,Suva,Fiji,1987,1987-05-22,Fiji,1964-07-13,8348.0
Ilaitia Savai,Lock,12 July 1960,8.0,Nadroga,Fiji,1987,1987-05-22,Fiji,1960-07-12,9810.0
Jioji Cama,Lock,,0.0,Fiji Police,Fiji,1987,1987-05-22,Fiji,,
Manasa Qoro,Back row,8 February 1964,0.0,Nadi,Fiji,1987,1987-05-22,Fiji,1964-02-08,8504.0
Samuela Vunivalu,Back row,circa 1957,0.0,Suva,Fiji,1987,1987-05-22,Fiji,,
Livai Kididromo,Back row,circa 1959,0.0,Suva,Fiji,1987,1987-05-22,Fiji,,
Apisai Nagata,Back row,,0.0,Nadi,Fiji,1987,1987-05-22,Fiji,,
Koli Rakoroi (c),Back row,1 July 1956,15.0,Suva,Fiji,1987,1987-05-22,Fiji,1956-07-01,11282.0
John Sanday,Back row,circa 1960,0.0,Suva,Fiji,1987,1987-05-22,Fiji,,
Peceli Gale,Back row,27 June 1957,7.0,Nadi,Fiji,1987,1987-05-22,Fiji,1957-06-27,10921.0
Pauliasi Tabulutu,Scrum-half,15 July 1967,3.0,Nabua,Fiji,1987,1987-05-22,Fiji,1967-07-15,7251.0
Paulo Nawalu,Scrum-half,18 October 1958,,Suva,Fiji,1987,1987-05-22,Fiji,1958-10-18,10443.0
Elia Rokowailoa,Fly-half,22 July 1958,7.0,Fiji Army,Fiji,1987,1987-05-22,Fiji,1958-07-22,10531.0
Sirilo Lovokuro,Centre,circa 1965,3.0,Suva,Fiji,1987,1987-05-22,Fiji,,
Epineri Naituku,Centre,8 January 1963,0.0,Nasinu,Fiji,1987,1987-05-22,Fiji,1963-01-08,8900.0
Tom Mitchell,Centre,10 May 1958,2.0,Fiji Army,Fiji,1987,1987-05-22,Fiji,1958-05-10,10604.0
Kaiava Salusalu,Centre,8 May 1957,9.0,Suva,Fiji,1987,1987-05-22,Fiji,1957-05-08,10971.0
Serupepeli Tuvula,Wing,circa 1963,4.0,Queensland,Australia,1987,1987-05-22,Fiji,,
Tomasi Cama,Wing,21 February 1961,4.0,Suva,Fiji,1987,1987-05-22,Fiji,1961-02-21,9586.0
Kavekini Nalaga,Wing,circa 1965,1.0,Nadroga,Fiji,1987,1987-05-22,Fiji,,
Jimi Damu,Wing,15 July 1967,3.0,Auckland,New Zealand,1987,1987-05-22,Fiji,1967-07-15,7251.0
Severo Koroduadua,Fullback,22 December 1960,10.0,Suva,Fiji,1987,1987-05-22,Fiji,1960-12-22,9647.0
Jone Kubu,Fullback,circa 1961,5.0,Rewa,Fiji,1987,1987-05-22,Fiji,,
Antonio Galeazzo,Hooker,15 February 1959,3.0,Petrarca,Italy,1987,1987-05-22,Italy,1959-02-15,10323.0
Giorgio Morelli,Hooker,18 April 1954,25.0,L'Aquila,Italy,1987,1987-05-22,Italy,1954-04-18,12087.0
Giancarlo Cucchiella,Prop,18 February 1953,21.0,L'Aquila,Italy,1987,1987-05-22,Italy,1953-02-18,12511.0
Giancarlo Pivetta,Prop,18 June 1957,29.0,San Donà,Italy,1987,1987-05-22,Italy,1957-06-18,10930.0
Tito Lupini,Prop,12 November 1955,1.0,Rovigo,Italy,1987,1987-05-22,Italy,1955-11-12,11514.0
Stefano Romagnoli,Prop,5 February 1955,14.0,Parma,Italy,1987,1987-05-22,Italy,1955-02-05,11794.0
Guido Rossi,Prop,18 April 1959,29.0,Benetton Treviso,Italy,1987,1987-05-22,Italy,1959-04-18,10261.0
Mauro Gardin,Lock,27 March 1961,19.0,Petrarca,Italy,1987,1987-05-22,Italy,1961-03-27,9552.0
Franco Berni,Lock,9 January 1965,7.0,A.S. Milano,Italy,1987,1987-05-22,Italy,1965-01-09,8168.0
Antonio Colella,Lock,4 September 1961,30.0,L'Aquila,Italy,1987,1987-05-22,Italy,1961-09-04,9391.0
Giuseppe Artuso,Back row,14 November 1956,30.0,Petrarca,Italy,1987,1987-05-22,Italy,1956-11-14,11146.0
Raffaele Dolfato,Back row,28 October 1962,3.0,Benetton Treviso,Italy,1987,1987-05-22,Italy,1962-10-28,8972.0
Piergianni Farina,Back row,1 June 1959,1.0,Petrarca,Italy,1987,1987-05-22,Italy,1959-06-01,10217.0
Mario Pavin,Back row,18 July 1958,7.0,Benetton Treviso,Italy,1987,1987-05-22,Italy,1958-07-18,10535.0
Gianni Zanon,Back row,3 March 1960,31.0,Benetton Treviso,Italy,1987,1987-05-22,Italy,1960-03-03,9941.0
Marzio Innocenti (c),Back row,4 September 1958,34.0,Petrarca,Italy,1987,1987-05-22,Italy,1958-09-04,10487.0
Alessandro Ghini,Scrum-half,4 May 1961,33.0,Milano,Italy,1987,1987-05-22,Italy,1961-05-04,9514.0
Fulvio Lorigiola,Scrum-half,6 January 1959,31.0,Petrarca,Italy,1987,1987-05-22,Italy,1959-01-06,10363.0
Rodolfo Ambrosio,Fly-half,27 December 1961,0.0,Tala,Argentina,1987,1987-05-22,Italy,1961-12-27,9277.0
Oscar Collodo,Fly-half,16 August 1958,12.0,Benetton Treviso,Italy,1987,1987-05-22,Italy,1958-08-16,10506.0
Stefano Barba,Centre,10 January 1964,7.0,CUS Roma,Italy,1987,1987-05-22,Italy,1964-01-10,8533.0
Fabio Gaetaniello,Centre,25 August 1958,16.0,Parma,Italy,1987,1987-05-22,Italy,1958-08-25,10497.0
Sergio Zorzi,Centre,21 April 1964,3.0,Benetton Treviso,Italy,1987,1987-05-22,Italy,1964-04-21,8431.0
Marcello Cuttitta,Wing,2 September 1966,3.0,L'Aquila,Italy,1987,1987-05-22,Italy,1966-09-02,7567.0
Massimo Mascioletti,Wing,4 March 1958,46.0,L'Aquila,Italy,1987,1987-05-22,Italy,1958-03-04,10671.0
Serafino Ghizzoni,Fullback,16 October 1954,59.0,L'Aquila,Italy,1987,1987-05-22,Italy,1954-10-16,11906.0
Daniele Tebaldi,Fullback,24 April 1961,3.0,Parma,Italy,1987,1987-05-22,Italy,1961-04-24,9524.0
Julio Clement,Hooker,1 July 1962,0.0,Universitario,Argentina,1987,1987-05-22,Argentina,1962-07-01,9091.0
Serafín Dengra,Hooker,21 September 1961,9.0,San Martín,Argentina,1987,1987-05-22,Argentina,1961-09-21,9374.0
Hugo Torres,Prop,24 April 1962,0.0,Tala,Argentina,1987,1987-05-22,Argentina,1962-04-24,9159.0
Diego Cash,Prop,10 August 1961,13.0,San Isidro,Argentina,1987,1987-05-22,Argentina,1961-08-10,9416.0
Luis Molina,Prop,3 November 1959,2.0,Los Tarcos,Argentina,1987,1987-05-22,Argentina,1959-11-03,10062.0
Fernando Morel,Prop,1 July 1958,22.0,CASI,Argentina,1987,1987-05-22,Argentina,1958-07-01,10552.0
Gustavo Milano,Lock,11 February 1961,20.0,Jockey Club,Argentina,1987,1987-05-22,Argentina,1961-02-11,9596.0
Roberto Cobelo,Lock,31 October 1962,0.0,CASI,Argentina,1987,1987-05-22,Argentina,1962-10-31,8969.0
Eliseo Branca,Lock,20 July 1957,24.0,CASI,Argentina,1987,1987-05-22,Argentina,1957-07-20,10898.0
Sergio Carossio,Lock,29 October 1962,1.0,Olivos,Argentina,1987,1987-05-22,Argentina,1962-10-29,8971.0
Jorge Allen,Back row,12 July 1956,11.0,CASI,Argentina,1987,1987-05-22,Argentina,1956-07-12,11271.0
José Mostany,Back row,13 January 1963,1.0,Manuel Belgrano,Argentina,1987,1987-05-22,Argentina,1963-01-13,8895.0
Alejandro Schiavio,Back row,28 January 1961,3.0,Pueyrredón,Argentina,1987,1987-05-22,Argentina,1961-01-28,9610.0
Gabriel Travaglini,Back row,1 July 1958,16.0,CASI,Argentina,1987,1987-05-22,Argentina,1958-07-01,10552.0
Marcelo Faggi,Scrum-half,13 October 1964,0.0,Estudiantes de Paraná,Argentina,1987,1987-05-22,Argentina,1964-10-13,8256.0
Fabio Gómez,Scrum-half,13 July 1965,2.0,Banco Nación,Argentina,1987,1987-05-22,Argentina,1965-07-13,7983.0
Martín Yangüela,Scrum-half,1 April 1957,0.0,Pueyrredón,Argentina,1987,1987-05-22,Argentina,1957-04-01,11008.0
Julián Manuele,Fly-half,30 October 1966,0.0,La Plata,Argentina,1987,1987-05-22,Argentina,1966-10-30,7509.0
Hugo Porta (c),Fly-half,11 September 1951,48.0,Banco Nación,Argentina,1987,1987-05-22,Argentina,1951-09-11,13037.0
Rafael Madero,Centre,6 July 1958,22.0,San Isidro,Argentina,1987,1987-05-22,Argentina,1958-07-06,10547.0
Fabián Turnes,Centre,12 January 1965,10.0,Banco Nación,Argentina,1987,1987-05-22,Argentina,1965-01-12,8165.0
Marcelo Campo,Wing,1 July 1957,18.0,Pueyrredón,Argentina,1987,1987-05-22,Argentina,1957-07-01,10917.0
Diego Cuesta Silva,Wing,23 January 1963,13.0,San Isidro,Argentina,1987,1987-05-22,Argentina,1963-01-23,8885.0
Juan Lanza,Wing,7 June 1963,10.0,CUBA,Argentina,1987,1987-05-22,Argentina,1963-06-07,8750.0
Pedro Lanza,Wing,21 September 1961,14.0,CUBA,Argentina,1987,1987-05-22,Argentina,1961-09-21,9374.0
Guillermo Angaut,Fullback,10 January 1965,0.0,La Plata,Argentina,1987,1987-05-22,Argentina,1965-01-10,8167.0
Sebastián Salvat,Fullback,5 April 1967,1.0,Alumni,Argentina,1987,1987-05-22,Argentina,1967-04-05,7352.0
Philippe Dintrans,Hooker,29 January 1957,42.0,Stadoceste Tarbais,France,1987,1987-05-22,France,1957-01-29,11070.0
Daniel Dubroca (c),Hooker,25 April 1954,23.0,SU Agen,France,1987,1987-05-22,France,1954-04-25,12080.0
Jean-Pierre Garuet-Lempirou,Prop,15 June 1953,26.0,FC Lourdes,France,1987,1987-05-22,France,1953-06-15,12394.0
Pascal Ondarts,Prop,1 April 1956,5.0,Biarritz Olympique,France,1987,1987-05-22,France,1956-04-01,11373.0
Jean-Louis Tolot,Prop,13 June 1957,0.0,SU Agen,France,1987,1987-05-22,France,1957-06-13,10935.0
Louis Armary,Prop,24 July 1963,0.0,FC Lourdes,France,1987,1987-05-22,France,1963-07-24,8703.0
Éric Bonneval,Lock,12 November 1963,16.0,Stade Toulousain,France,1987,1987-05-22,France,1963-11-12,8592.0
Francis Haget,Lock,1 October 1949,38.0,Biarritz Olympique,France,1987,1987-05-22,France,1949-10-01,13747.0
Jean Condom,Lock,15 August 1960,36.0,Biarritz Olympique,France,1987,1987-05-22,France,1960-08-15,9776.0
Alain Lorieux,Lock,26 June 1956,17.0,FC Grenoble,France,1987,1987-05-22,France,1956-06-26,11287.0
Dominique Erbani,Back row,16 August 1956,31.0,SU Agen,France,1987,1987-05-22,France,1956-08-16,11236.0
Jean-Luc Joinel,Back row,21 September 1953,50.0,CA Brive,France,1987,1987-05-22,France,1953-09-21,12296.0
Éric Champ,Back row,8 June 1962,17.0,RC Toulonnais,France,1987,1987-05-22,France,1962-06-08,9114.0
Laurent Rodriguez,Back row,25 June 1960,29.0,US Dax,France,1987,1987-05-22,France,1960-06-25,9827.0
Pierre Berbizier,Scrum-half,17 June 1958,30.0,SU Agen,France,1987,1987-05-22,France,1958-06-17,10566.0
Rodolphe Modin,Scrum-half,26 March 1959,0.0,CA Brive,France,1987,1987-05-22,France,1959-03-26,10284.0
Guy Laporte,Fly-half,15 December 1952,13.0,SC Graulhet,France,1987,1987-05-22,France,1952-12-15,12576.0
Didier Camberabero,Fly-half,9 January 1961,5.0,AS Béziers Hérault,France,1987,1987-05-22,France,1961-01-09,9629.0
Alain Carminati,Fly-half,17 August 1966,2.0,AS Béziers Hérault,France,1987,1987-05-22,France,1966-08-17,7583.0
Denis Charvet,Centre,12 May 1962,5.0,Stade Toulousain,France,1987,1987-05-22,France,1962-05-12,9141.0
Philippe Sella,Centre,14 February 1962,39.0,SU Agen,France,1987,1987-05-22,France,1962-02-14,9228.0
Franck Mesnel,Centre,30 June 1961,6.0,Racing Club de France,France,1987,1987-05-22,France,1961-06-30,9457.0
Patrick Estève,Wing,14 February 1959,23.0,RC Narbonne,France,1987,1987-05-22,France,1959-02-14,10324.0
Jean-Baptiste Lafond,Wing,20 December 1961,9.0,Racing Club de France,France,1987,1987-05-22,France,1961-12-20,9284.0
Patrice Lagisquet,Wing,4 September 1962,12.0,Aviron Bayonnais,France,1987,1987-05-22,France,1962-09-04,9026.0
Marc Andrieu,Wing,19 September 1959,4.0,RC Nîmes,France,1987,1987-05-22,France,1959-09-19,10107.0
Serge Blanco,Fullback,31 August 1958,43.0,Biarritz Olympique,France,1987,1987-05-22,France,1958-08-31,10491.0
Colin Deans (c),Hooker,3 May 1955,48.0,Hawick RFC,Scotland,1987,1987-05-22,Scotland,1955-05-03,11707.0
Gary Callander,Hooker,5 July 1959,1.0,Hawick RFC,Scotland,1987,1987-05-22,Scotland,1959-07-05,10183.0
Norman Rowan,Prop,17 September 1951,8.0,Forrester RFC,Scotland,1987,1987-05-22,Scotland,1951-09-17,13031.0
Alex Brewster,Prop,3 May 1954,6.0,Stewart's Melville RFC,Scotland,1987,1987-05-22,Scotland,1954-05-03,12072.0
David Sole,Prop,8 May 1962,6.0,Edinburgh Academical Football Club,Scotland,1987,1987-05-22,Scotland,1962-05-08,9145.0
Iain Milne,Prop,17 June 1956,36.0,Heriot's Rugby Club,Scotland,1987,1987-05-22,Scotland,1956-06-17,11296.0
Alan Tomes,Lock,6 November 1951,44.0,Hawick RFC,Scotland,1987,1987-05-22,Scotland,1951-11-06,12981.0
Jeremy Campbell-Lamerton,Lock,21 February 1959,1.0,Army Rugby Union,England,1987,1987-05-22,Scotland,1959-02-21,10317.0
Finlay Calder,Back row,20 August 1957,9.0,Heriot's Rugby Club,Scotland,1987,1987-05-22,Scotland,1957-08-20,10867.0
John Jeffrey,Back row,25 March 1959,12.0,Kelso RFC,Scotland,1987,1987-05-22,Scotland,1959-03-25,10285.0
Derek Turnbull,Back row,2 October 1961,0.0,Hawick RFC,Scotland,1987,1987-05-22,Scotland,1961-10-02,9363.0
Iain Paxton,Back row,29 December 1957,33.0,Glenrothes RFC,Scotland,1987,1987-05-22,Scotland,1957-12-29,10736.0
Derek White,Back row,30 January 1958,6.0,Gala RFC,Scotland,1987,1987-05-22,Scotland,1958-01-30,10704.0
Roy Laidlaw,Scrum-half,5 October 1953,44.0,Jed-Forest RFC,Scotland,1987,1987-05-22,Scotland,1953-10-05,12282.0
Greig Oliver,Scrum-half,12 September 1964,0.0,Hawick RFC,Scotland,1987,1987-05-22,Scotland,1964-09-12,8287.0
John Rutherford,Fly-half,4 October 1955,42.0,Selkirk RFC,Scotland,1987,1987-05-22,Scotland,1955-10-04,11553.0
Richard Cramb,Fly-half,7 September 1963,0.0,Newcastle Gosforth,Scotland,1987,1987-05-22,Scotland,1963-09-07,8658.0
Keith Robertson,Centre,5 December 1954,36.0,Melrose RFC,Scotland,1987,1987-05-22,Scotland,1954-12-05,11856.0
Scott Hastings,Centre,4 December 1964,8.0,Watsonian RFC,Scotland,1987,1987-05-22,Scotland,1964-12-04,8204.0
Alan Tait,Centre,2 November 1964,0.0,Kelso RFC,Scotland,1987,1987-05-22,Scotland,1964-11-02,8236.0
Iwan Tukalo,Wing,5 March 1961,5.0,Heriot's Rugby Club,Scotland,1987,1987-05-22,Scotland,1961-03-05,9574.0
Matt Duncan,Wing,29 August 1959,8.0,West of Scotland F.C.,Scotland,1987,1987-05-22,Scotland,1959-08-29,10128.0
Douglas Wyllie,Wing,20 May 1963,5.0,Selkirk RFC,Scotland,1987,1987-05-22,Scotland,1963-05-20,8768.0
Gavin Hastings,Fullback,3 January 1962,9.0,Watsonian RFC,Scotland,1987,1987-05-22,Scotland,1962-01-03,9270.0
Peter Dods,Fullback,6 January 1958,16.0,Gala RFC,Scotland,1987,1987-05-22,Scotland,1958-01-06,10728.0
Vasile Ilcă,Hooker,circa 1960,0.0,CS Universitatea Cluj-Napoca,Romania,1987,1987-05-22,Romania,,
Emilian Grigore,Hooker,circa 1957,6.0,,,1987,1987-05-22,Romania,,
Ion Bucan,Prop,27 January 1955,44.0,CS Dinamo București,Romania,1987,1987-05-22,Romania,1955-01-27,11803.0
Florea Opriș,Prop,10 March 1956,6.0,RCJ Farul Constanța,Romania,1987,1987-05-22,Romania,1956-03-10,11395.0
Gheorghe Leonte,Prop,12 February 1963,7.0,CS Vienne,France,1987,1987-05-22,Romania,1963-02-12,8865.0
Vasile Pascu,Prop,circa 1959,12.0,,,1987,1987-05-22,Romania,,
Gheorghe Dumitru,Lock,31 January 1952,65.0,RCJ Farul Constanța,Romania,1987,1987-05-22,Romania,1952-01-31,12895.0
Nicolae Vereș,Lock,1 July 1963,2.0,CS Dinamo București,Romania,1987,1987-05-22,Romania,1963-07-01,8726.0
Cristian Raducanu,Lock,2 October 1967,3.0,CS Dinamo București,Romania,1987,1987-05-22,Romania,1967-10-02,7172.0
Laurențiu Constantin,Lock,12 July 1963,21.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1963-07-12,8715.0
Haralambie Dumitraș,Back row,11 February 1960,9.0,Section Paloise,France,1987,1987-05-22,Romania,1960-02-11,9962.0
Florică Murariu,Back row,25 March 1955,54.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1955-03-25,11746.0
Emilian Necula,Back row,24 May 1960,0.0,RCJ Farul Constanța,Romania,1987,1987-05-22,Romania,1960-05-24,9859.0
Ștefan Constantin,Back row,5 June 1959,14.0,RCJ Farul Constanța,Romania,1987,1987-05-22,Romania,1959-06-05,10213.0
Mircea Paraschiv (c),Scrum-half,14 December 1954,58.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1954-12-14,11847.0
Teodor Coman,Scrum-half,1 July 1962,5.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1962-07-01,9091.0
Dumitru Alexandru,Fly-half,22 August 1953,42.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1953-08-22,12326.0
Romeo Bezușcu,Fly-half,1 July 1964,1.0,RCJ Farul Constanța,Romania,1987,1987-05-22,Romania,1964-07-01,8360.0
Adrian Lungu,Centre,9 May 1960,42.0,CS Dinamo București,Romania,1987,1987-05-22,Romania,1960-05-09,9874.0
Ștefan Tofan,Centre,25 February 1965,8.0,CS Dinamo București,Romania,1987,1987-05-22,Romania,1965-02-25,8121.0
Adrian Tinca,Centre,9 January 1967,0.0,RCJ Farul Constanța,Romania,1987,1987-05-22,Romania,1967-01-09,7438.0
Vasile David,Centre,11 April 1961,6.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1961-04-11,9537.0
Marcel Toader,Wing,4 January 1963,15.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1963-01-04,8904.0
Adrian Pllotschi,Wing,26 October 1959,2.0,CSA Steaua București,Romania,1987,1987-05-22,Romania,1959-10-26,10070.0
Liviu Hodorcă,Wing,1 July 1961,9.0,RCJ Farul Constanța,Romania,1987,1987-05-22,Romania,1961-07-01,9456.0
Alexandru Marin,Fullback,28 September 1957,12.0,R.C. Grivița,Romania,1987,1987-05-22,Romania,1957-09-28,10828.0
Vasile Ion,Fullback,1 January 1956,16.0,,,1987,1987-05-22,Romania,1956-01-01,11464.0
Keith Bell,Hooker,circa 1959,0.0,,,1987,1987-05-22,Zimbabwe,,
Lance Bray,Hooker,circa 1960,0.0,,,1987,1987-05-22,Zimbabwe,,
Alex Nicholls,Prop,4 August 1958,0.0,,,1987,1987-05-22,Zimbabwe,1958-08-04,10518.0
Andy Tucker,Prop,circa 1960,0.0,,,1987,1987-05-22,Zimbabwe,,
George Elcome,Prop,circa 1960,0.0,,,1987,1987-05-22,Zimbabwe,,
Michael Martin,Lock,25 December 1959,0.0,,,1987,1987-05-22,Zimbabwe,1959-12-25,10010.0
Tom Sawyer,Lock,circa 1960,0.0,,,1987,1987-05-22,Zimbabwe,,
Neville Kloppers,Lock,circa 1962,0.0,,,1987,1987-05-22,Zimbabwe,,
Jumbo Davidson,Lock,circa 1962,0.0,,,1987,1987-05-22,Zimbabwe,,
Errol Bredenkamp,Back row,circa 1961,0.0,,,1987,1987-05-22,Zimbabwe,,
Rod Gray,Back row,circa 1961,0.0,,,1987,1987-05-22,Zimbabwe,,
Dirk Buitendag,Back row,circa 1960,0.0,,,1987,1987-05-22,Zimbabwe,,
Mark Neill,Back row,circa 1965,0.0,,,1987,1987-05-22,Zimbabwe,,
Malcolm Jellicoe (c),Scrum-half,1 July 1963,0.0,,,1987,1987-05-22,Zimbabwe,1963-07-01,8726.0
Craig Brown,Fly-half,1 February 1968,0.0,,,1987,1987-05-22,Zimbabwe,1968-02-01,7050.0
Marthinus Grobler,Fly-half,circa 1967,0.0,,,1987,1987-05-22,Zimbabwe,,
Richard Tsimba,Centre,9 July 1965,0.0,Chaminuka R.F.C.,Zimbabwe,1987,1987-05-22,Zimbabwe,1965-07-09,7987.0
Campbell Graham,Centre,circa 1963,0.0,,,1987,1987-05-22,Zimbabwe,,
Andre Buitendag,Centre,circa 1962,0.0,,,1987,1987-05-22,Zimbabwe,,
Pete Kaulback,Wing,26 October 1963,0.0,,,1987,1987-05-22,Zimbabwe,1963-10-26,8609.0
Eric Barrett,Wing,15 June 1951,0.0,,,1987,1987-05-22,Zimbabwe,1951-06-15,13125.0
Shawn Graham,Wing,circa 1961,0.0,,,1987,1987-05-22,Zimbabwe,,
Andy Ferreira,Fullback,26 June 1961,0.0,Old Georgians RFC',Zimbabwe,1987,1987-05-22,Zimbabwe,1961-06-26,9461.0
Kenyon Ziehl,Fullback,11 January 1963,12.0,,,1987,1987-05-22,Zimbabwe,1963-01-11,8897.0
Rory Best (c),Hooker,15 August 1982,119.0,Ulster,,2019,2019-09-20,Ireland,1982-08-15,13550.0
Sean Cronin,Hooker,6 May 1986,69.0,Leinster,,2019,2019-09-20,Ireland,1986-05-06,12190.0
Niall Scannell,Hooker,8 April 1992,16.0,Munster,,2019,2019-09-20,Ireland,1992-04-08,10026.0
Tadhg Furlong,Prop,14 November 1992,35.0,Leinster,,2019,2019-09-20,Ireland,1992-11-14,9806.0
Cian Healy,Prop,7 October 1987,90.0,Leinster,,2019,2019-09-20,Ireland,1987-10-07,11671.0
David Kilcoyne,Prop,14 December 1988,30.0,Munster,,2019,2019-09-20,Ireland,1988-12-14,11237.0
Andrew Porter,Prop,16 January 1996,17.0,Leinster,,2019,2019-09-20,Ireland,1996-01-16,8648.0
John Ryan,Prop,2 August 1988,20.0,Munster,,2019,2019-09-20,Ireland,1988-08-02,11371.0
Tadhg Beirne,Lock,8 January 1992,8.0,Munster,,2019,2019-09-20,Ireland,1992-01-08,10117.0
Iain Henderson,Lock,21 February 1992,47.0,Ulster,,2019,2019-09-20,Ireland,1992-02-21,10073.0
Jean Kleyn,Lock,26 August 1993,2.0,Munster,,2019,2019-09-20,Ireland,1993-08-26,9521.0
